blank,name,cost,effect
,Mega Stone,0,"Place one Megastone plate in your deck for each Mega-Evolution on your team that does not evolve through other means while it is on the field. Assign each plate to each Mega-Evolution Pokemon at the start of the game, and that plate can only be used to evolve Pokemon with the same name. You may only use this plate if none of your Pokemon are Mega-Evolved. If there is a Pokemon on the field that can evolve into the assigned Mega-Evolution, Mega-Evolve it for 7 turns."
,Long Throw,2,Move one Pokémon from your bench to one space away from your entry point. Your turn ends.
,Bright Powder,1,"Choose one of your Pokémon on the field. For this turn, you can make any battle opponent of this Pokémon spin again once."
,Recycle,2,All Plates from both players except Recycle become usable. Your turn ends
,X Special Attack,1,"Choose one of your Pokémon on the field or bench. For this turn, it has ★+2"
,Max Revive,2,Choose one of your Pokémon in the P.C. Move that Pokémon to the bench. (It will not gain Wait.)
,Desperate Times,2,"Choose one of your Pokémon on the field or bench. For this turn, if that Pokémon spins an attack between 10 and 50 damage, it deals +50 damage"
,Double Chance,1,"Choose a Pokémon on the field or bench. (You cannot select unusable Pokémon) For this turn, you can choose to respin once for it."
,Clear Wait,2,Choose one of your Pokémon on the field or bench. Remove the Wait condition from that Pokemon.
,Focus Band,2,"Select a Pokémon on the Field or on your Bench. This turn, the Pokémon cannot be Knocked Out by attacks."
,Full Heal,1,Choose one of your Pokémon on the field. Remove all special conditions from that Pokémon. (This excludes Wait.)
,Scoop Up,1,Choose one of your Pokémon on the field. Return it to the bench.
,X Attack,1,"Choose one of your Pokémon on the field or bench. For this turn, it deals +30 damage"
,Pokemon Switch,1,Choose two of your Pokémon on the field or bench and switch their positions. Your turn ends. (You cannot select two Pokémon from the Bench)
,Swap Spot,1,Switch 1 of your Pokémon with another of your Pokémon on the field
,X Defend,1,"Choose one of your Pokémon on the field or bench. For this turn, if its opponent deals 10-100 damage in battle, this Pokémon will not be knocked out"
,No Guard,1,"Choose one of your Pokemon on the field or bench. For this turn, if that Pokemon or its battle opponent spins a Blue Attack, shift the spin one segment clockwise."
,Quick Care,1,"Choose one of your Pokémon on the field. If there is space in your P.C., move it there. Your turn ends."
,Priority Recovery,1,Switch the order of your Pokémon in the P.C. You cannot use this Plate if there are less than 2 Pokémon in the P.C. Your turn ends.
,Ballast,1,"Choose one of your Pokémon on the field. Until it is knocked out or leaves the field, it cannot be moved by effects other than its own."
,Invisibility Cape,3,"Choose one of your Pokémon on the bench. For this turn, it can move through other Pokémon when making an MP move"
,Power Battle,1,"Choose one of your Pokemon on the field or bench. For this turn, if that Pokemon or its battle opponent spins a Purple Attack, shift the spin one segment clockwise."
,Hurdle Jump,2,Choose one of your Pokémon on the field and move it over a connected Pokémon. Your turn ends.
,Switcheroo,1,Choose one of your Pokémon on the bench. Switch it with one of your Pokémon from your P.C. Your turn ends.
,Goal Block,2,Choose one of your Pokemon on the field and move it to your goal point if it is open. Your turn ends.
,X Speed,1,"Choose one of your Pokémon on the field or bench. For this turn, this Pokémon's largest White Attack will be changed to a Gold Attack before battle."
,Force Remove,1,"This Plate can be used when you have Pokémon on all of your opponent's entry points. Select one of your Pokémon on the field or bench. If that Pokémon's attack knocks a Pokémon out that turn, it will be eliminated from the duel"
,Counter Attack,1,This plate can be used when you have enemy Pokémon on all of your entry points. Select one of your Pokémon on the field. That Pokémon will have MP + 1 for that turn.
,X Accuracy,1,"Select one of your Pokémon on the field or bench. If the Attack for that Pokémon is a miss that turn, it will shift to the adjacent attack."
,Burn Drive,1,"Select 1 of your Genesect on the field or on the bench. During this turn, that Pokémon can re-spin 1 time during battle. Also, if the fainted battle opponent is a Grass-type, Ice-type, Bug-type or Steel-type, the opponent will be excluded from the duel."
,Douse Drive,1,"Select 1 of your Genesect on the field or on the bench. During this turn, that Pokémon can re-spin 1 time during battle. Also, if the fainted battle opponent is a Fire-type, Ground-type or Rock-type, the opponent will be excluded from the duel."
,Chill Drive,1,"Select 1 of your Genesect on the field or on the bench. During this turn, that Pokémon can re-spin 1 time during battle. Also, if the fainted battle opponent is a Grass-type, Ground-type, Flying-type or Dragon-type, the opponent will be excluded from the duel."
,Shock Drive,1,"Select 1 of your Genesect on the field or on the bench. During this turn, that Pokémon can re-spin 1 time during battle. Also, if the fainted battle opponent is a Water-type or Flying-type, the opponent will be excluded from the duel."
,Cosmo Energy,1,"During this duel, when your Deoxys is attacked, before the battle, you may switch that Deoxys with another of your Deoxys on the field or bench. Your turn ends."
,Flame Energy,1,"Your opponent's burned Pokemon gain Wait 5. During this duel, your Fire-type Pokemon cannot be frozen or burned. Your turn ends."
,Overdrive,1,"Choose on of your Reshiram, Zekrom, Black Kyurem or White Kyurem on the field. Remove all special conditions affecting that Pokémon. (Except Wait.). While that Pokémon is on the field, that Pokémon deals +30 damage"
,Land's Energy,1,"During this duel, the effect of Land's Wrath from your Zygarde becomes ""Spin for all of the opponent's Pokémon on the field, excluding Flying-types. If it lands on Purple Attacks, the Pokémon Faints"". Your turn ends"
,Long Barrel,1,"Choose one of Rhyperior on the field or bench. Until the end of the duel, the effect of that Rhyperior's Rock Wrecker becomes: ""Knock out one of your opponent's Pokemon within 3 steps."" Your turn ends."
,Concentrated Fertilizer,1,"Select 1 of your Grass-type pokémon on the field or bench. For this turn, that Pokémon gains ★+1 and +20 damage"
,Sticky Grass,1,"Select one of your Grass-type Pokémon on the field. While that Pokémon is on the field, the battle opponent of that Pokémon cannot respin. Spin-again effects are trated as single spins only."
,Tropical Energy,1,"Any special conditions are removed from your Grass-, Flying-, and Bug-type Pokémon. During this duel, the effects of Abilities that allow you or your opponent to respin or force respins in battle are nullified for the battle opponents of your Grass-, Flying- and Bug-type Pokémon. Your turn ends"
,Dark Energy,1,"During this duel, if the opponent Pokémon is a Psychic-type, your Dark-type Pokémon are not knocked out in battle, but are moved to the bench and gain Wait instead. And, when you have two or more Dark-type Pokémon on the field, Energy effects on your opponent's Psychic and Ghost-type Pokémon are nullified. Your turn ends."
