name,imageFileName,type1color,type1file,type2color,type2file,megafile,movefile,forms,evolutions,move,type1,type2,ability,attack1fill,attack1color,attack1size,attack1range,attack1name,attack1power,attack1effect,attack2fill,attack2color,attack2size,attack2range,attack2name,attack2power,attack2effect,attack3fill,attack3color,attack3size,attack3range,attack3name,attack3power,attack3effect,attack4fill,attack4color,attack4size,attack4range,attack4name,attack4power,attack4effect,attack5fill,attack5color,attack5size,attack5range,attack5name,attack5power,attack5effect,attack6fill,attack6color,attack6size,attack6range,attack6name,attack6power,attack6effect,attack7fill,attack7color,attack7size,attack7range,attack7name,attack7power,attack7effect,attack8fill,attack8color,attack8size,attack8range,attack8name,attack8power,attack8effect,attack9fill,attack9color,attack9size,attack9range,attack9name,attack9power,attack9effect
"Venusaur, Mega",Sprites/003MMS.png,LawnGreen,TypeLabels/Grass.png,MediumVioletRed,TypeLabels/Poison.png,mega.png,mp2.png,,,2,Grass,Poison,"Cruel Blossom's Incursion> This Pokemon can MP move over poisoned and noxious Pokemon. Pokemon that this Pokemon moved over are temporarily excluded from the duel, returning to the bench 7 turns later.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,14,Solar Beam,150,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",9,23,Venom Whip,★★,One Pokemon within 2 steps becomes noxious,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,Sprites/003MS.png,LawnGreen,TypeLabels/Grass.png,MediumVioletRed,TypeLabels/Poison.png,,mp1.png,,"Venusaur, Mega",1,Grass,Poison,"Chemical Poison> When this Pokemon is on the field, all poisoned and noxious Pokemon have MP -1. This effect does not stack.","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,5,Protect,,This Pokemon gains Wait,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,14,Solar Beam,150,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,22,Sleep Powder,★,The battle opponent falls asleep,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,Sprites/006MS.png,Red,TypeLabels/Fire.png,RoyalBlue,TypeLabels/Flying.png,,mp2.png,,"Charizard, Mega X; Charizard, Mega Y",2,Fire,Flying,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,16,Fire Spin,60x,Spin again until Fire Spin does not land - damage is multiplied by the number of Fire Spin spins,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,17,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,24,Dragon Tail,100,Benches your battle opponent (except when opponent has Fainted). Your battle opponent must then Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charizard, Mega X",Sprites/006MXMS.png,Red,TypeLabels/Fire.png,Blue,TypeLabels/Dragon.png,mega.png,mp3.png,,,3,Fire,Dragon,"Inferno Ladder> When this Pokemon appears as a Mega Evolution, remove the frozen condition from all of your Pokemon. Pokemon knocked out by the Attacks of this Pokemon are temporarily removed from the duel, returning to the bench 7 turns later.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,15,Bright Flame,60x,Spin again until Bright Flame does not land - damage is multiplied by the number of Bright Flame spins. All adjacent Pokemon become burned.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,16,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,24,Backdraft,120,Move the battle opponent and opposing Pokemon adjacent to the battle opponent to the P.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charizard, Mega Y",Sprites/006MYMS.png,Red,TypeLabels/Fire.png,RoyalBlue,TypeLabels/Flying.png,mega.png,mp3.png,,,3,Fire,Flying,Blue Skies Captor> This Pokemon can use an MP move to fly over Pokemon on the field that don't have Soar. Move opposing Pokemon surrounded by this Pokemon to your P.C.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,15,Bright Flame,60x,Spin again until Bright Flame does not land - damage is multiplied by the number of Bright Flame spins. All adjacent Pokemon become burned.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,16,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,24,Flash Over,★★★,The battle opponent and opposing Pokemon adjacent to it become burned. Those Pokemon gain Wait 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blastoise, Mega",Sprites/009MMS.png,LightSeaGreen,TypeLabels/Water.png,,,mega.png,mp2.png,,,2,Water,,Intense Shell Cannon> This Pokemon deals +10 damage for each Water-type Pokemon on the field.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",12,14,Hydro Pump,140,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,15,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",9,24,Turtle Missile,,"Spin for one of your opponent's Pokemon on the field. If they spin a White Attack, they are knocked out. If this Pokemon has evolved, this effect repeats for each time this Pokemon has evolved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,Sprites/009MS.png,LightSeaGreen,TypeLabels/Water.png,,,,mp2.png,,"Blastoise, Mega",2,Water,,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,12,Hydro Pump,140,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,14,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",10,24,Mirror Coat,★★,The battle opponent is knocked out if they spin purple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beedrill, Mega",Sprites/015MMS.png,YellowGreen,TypeLabels/Bug.png,MediumVioletRed,TypeLabels/Poison.png,mega.png,mp3.png,,,3,Bug,Poison,"Poisoning Order> While this Pokemon is on the field, the Misses of your Beedrill become ‘The battle opponent becomes noxious.’","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,15,Pin Missile,70x,Spin again until Pin Missile does not land - damage is multiplied by the number of Pin Missile spins,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",9,24,Poison Shock,★,"If the battle opponent is noxious, exclude it from the duel. If it is not noxious, the battle opponent becomes noxious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,Sprites/015MS.png,YellowGreen,TypeLabels/Bug.png,MediumVioletRed,TypeLabels/Poison.png,,mp3.png,,"Beedril, Mega",3,Bug,Poison,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",4,4,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",11,15,Pin Missile,40x,Spin again until Pin Missile does not land - damage is multiplied by the number of Pin Missile spins,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,18,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,24,Toxic,★,The battle opponent becomes noxious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikachu,Sprites/025MS.png,Yellow,TypeLabels/Electric.png,,,,mp2.png,,"Raichu; Raichu, Alolan",2,Electric,,"Electrical Charge> If this Pokemon is paralyzed, it gains +1 MP and deals +30 damage.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",6,7,Extreme Speed,70,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,8,Dodge,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,14,Volt Switch,★,This Pokemon switches with a Pokemon on your bench or in your P.C.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,24,Volt Tackle,110,This Pokemon and its battle opponent become paralyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
